semana_inicio,venta_neta_total_eur,coste_produccion_total_eur,unidades_vendidas,n_lineas,n_clientes_unicos,descuento_medio_pct,pct_lineas_con_descuento,n_pedidos,importe_neto_total_eur,ticket_medio_eur,inv_display,inv_email_crm,inv_exterior,inv_paid_search,inv_prensa,inv_radio_local,inv_social_paid,inv_video_online,inversion_total_eur,payday_flag,rebajas_flag,black_friday_flag,navidad_flag,semana_santa_flag,vacaciones_escolares_flag,incidencia_ecommerce_flag,festivo_local_intensidad,temperatura_media_c,lluvia_indice,turismo_indice,visitas_tienda,pedidos_tienda,pedidos_click_collect,sesiones_web,pedidos_online,tasa_conversion_tienda_pct,tasa_conversion_web_pct,anio,mes,semana_iso,level_year,Yt_indexed,time_trend,time_trend_sq,fourier_sin1,fourier_cos1,fourier_sin2,fourier_cos2
2020-01-06,1744807.79,681185.37,45706,18287,17999,4.035106906545633,30.256466342210313,18287,1744807.79,95.41246732651611,12249.83,7430.35,21872.71,32256.04,12566.69,17578.2,26864.09,27065.87,157883.78,0,1,0,0,0,0,0,0.0,9.957142857142857,59.28285714285715,31.35285714285714,2497,557.0,179.0,11246,366.0,0.2223057142857143,0.04983428571428571,2020,1,2,1771338.3713461538,0.9850222962617857,0.0,0.0,0.23931566428755774,0.970941817426052,0.4647231720437685,0.8854560256532099
2020-01-13,1743767.43,681370.53,45483,18240,17986,4.0027412280701755,29.906798245614034,18240,1743767.43,95.60128453947368,10468.85,9060.7,17893.72,38551.67,12657.93,14986.02,24575.52,21375.62,149570.03,0,1,0,0,0,0,0,0.0,9.564285714285715,58.067142857142855,29.391428571428573,2246,515.0,199.0,11416,403.0,0.2270157142857143,0.05323571428571429,2020,1,3,1771338.3713461538,0.9844349663552984,0.019164955509924708,0.0003672955196973934,0.3546048870425356,0.9350162426854148,0.6631226582407952,0.7485107481711011
2020-01-20,1748775.45,683008.61,45595,18168,17914,4.009797446059005,30.273007485689124,18168,1748775.45,96.25580416116249,12252.289999999999,5438.46,17988.05,34055.66,13077.65,12869.67,20363.2,21655.77,137700.75,1,1,0,0,0,0,1,0.0,10.07857142857143,58.97714285714285,27.392857142857142,2375,538.0,196.0,11289,407.0,0.2278157142857143,0.05372857142857143,2020,1,4,1771338.3713461538,0.9872622183817952,0.038329911019849415,0.0014691820787895737,0.4647231720437685,0.8854560256532099,0.8229838658936564,0.5680647467311558
2020-01-27,1771293.4,692481.8,46050,18397,18137,3.9832581399141165,29.874436049355875,18397,1771293.4,96.28164374626297,10693.32,7813.4,16907.84,28396.86,12349.28,13831.8,23534.38,23193.28,136720.16,1,1,0,0,0,0,0,0.0,10.471428571428572,60.731428571428566,26.728571428571428,2221,515.0,202.0,10023,358.0,0.23163714285714287,0.05651285714285714,2020,1,5,1771338.3713461538,0.9999746116569926,0.057494866529774126,0.003305659677276541,0.5680647467311558,0.8229838658936564,0.9350162426854148,0.35460488704253557
2020-02-03,1771972.59,691758.4,46315,18605,18337,4.044611663531309,30.40042999193765,18605,1771972.59,95.24174092985757,13393.52,6604.51,15698.029999999999,30090.34,10067.28,13842.48,23489.9,23911.76,137097.82,1,1,0,0,0,0,0,0.0,11.91,59.268571428571434,28.44857142857143,1725,404.0,152.0,9078,328.0,0.23231142857142859,0.053547142857142856,2020,2,6,1771338.3713461538,1.0003580448908609,0.07665982203969883,0.005876728315158295,0.6631226582407952,0.7485107481711011,0.992708874098054,0.120536680255323
2020-02-10,1768890.32,692252.23,45950,18334,18058,4.050398167339369,30.369804734373297,18334,1768890.32,96.4814181302498,10903.46,6215.91,11828.65,22108.06,13532.720000000001,14647.41,21297.69,16913.66,117447.56000000001,0,1,0,0,0,0,0,0.0,13.057142857142857,57.879999999999995,28.79,1797,376.0,120.0,11786,283.0,0.21027857142857143,0.03517714285714286,2020,2,7,1771338.3713461538,0.9986179651580103,0.09582477754962354,0.009182387992434836,0.7485107481711011,0.6631226582407953,0.992708874098054,-0.12053668025532288
2020-02-17,1749785.11,682318.71,45508,18215,17931,3.9736480922316773,29.88745539390612,18215,1749785.11,96.06286631896789,13646.43,5806.5199999999995,17085.61,31612.48,12387.06,14060.93,22659.03,21104.96,138363.02,0,0,0,0,0,0,0,0.0,13.362857142857143,58.49,29.114285714285714,1741,355.0,138.0,13548,300.0,0.20401142857142857,0.03330428571428572,2020,2,8,1771338.3713461538,0.9878322167606103,0.11498973305954825,0.013222638709106165,0.8229838658936564,0.5680647467311558,0.9350162426854148,-0.35460488704253545
2020-02-24,1780119.84,696401.97,46418,18517,18228,4.008208673111195,30.01026084138899,18517,1780119.84,96.13435437705893,8370.62,5380.82,16349.19,24761.45,10730.72,12175.189999999999,24940.37,21741.420000000002,124449.78,1,0,0,0,0,0,0,0.0,14.605714285714285,56.62714285714286,30.284285714285716,1753,375.0,139.0,11718,282.0,0.21434285714285714,0.03617857142857143,2020,2,9,1771338.3713461538,1.0049575331263065,0.13415468856947296,0.01799748046517228,0.8854560256532098,0.4647231720437686,0.8229838658936565,-0.5680647467311557
2020-03-02,1767092.71,689320.88,46031,18397,18116,3.9892373756590747,29.950535413382617,18397,1767092.71,96.05330814806761,10189.39,5740.99,12739.91,24753.66,12853.39,16371.96,20506.99,15623.48,118779.76999999999,1,0,0,0,0,0,0,0.0,15.514285714285714,57.138571428571424,27.547142857142855,1879,402.0,144.0,13153,303.0,0.21228857142857144,0.03488,2020,3,10,1771338.3713461538,0.9976031336446874,0.15331964407939766,0.02350691326063318,0.9350162426854148,0.35460488704253557,0.6631226582407952,-0.7485107481711012
2020-03-09,1760710.07,687090.06,45968,18346,18054,4.047203750136269,30.36084160034885,18346,1760710.07,95.97242287147063,14336.380000000001,7771.58,16136.65,33435.99,14386.39,12512.33,23446.85,22296.03,144322.2,0,0,0,0,0,0,1,0.02857142857142857,16.814285714285713,54.58714285714286,29.504285714285718,1683,357.0,145.0,14535,319.0,0.21029142857142857,0.03246857142857143,2020,3,11,1771338.3713461538,0.9939998469416791,0.17248459958932238,0.029750937095488872,0.970941817426052,0.23931566428755804,0.46472317204376906,-0.8854560256532096
