semana_inicio,venta_neta_total_eur,Yt_indexed,Yt_scaled,level_year,inv_paid_search,inv_social_paid,inv_video_online,inv_display,inv_email_crm,inv_radio_local,inv_exterior,inv_prensa,inv_digital_perf,inv_digital_awareness,inv_offline,inv_crm,logadstock_digital_perf,logadstock_digital_awareness,logadstock_offline,logadstock_crm,fourier_sin1,fourier_cos1,fourier_sin2,fourier_cos2,payday_flag,rebajas_flag,black_friday_flag,navidad_flag,semana_santa_flag,vacaciones_escolares_flag,incidencia_ecommerce_flag,festivo_local_intensidad,temperatura_media_c,lluvia_indice,turismo_indice,year_2020,year_2021,year_2022,year_2023
2020-01-06,1744807.79,0.9850222962617856,1.74480779,1771338.3713461538,32256.04,26864.09,27065.87,12249.83,7430.35,17578.2,21872.71,12566.69,59120.130000000005,39315.7,52017.600000000006,7430.35,-3.888499684093978,-3.9599751408145836,-3.8428920417249963,-3.5613994051897384,0.3384434581237906,1.373119086479104,0.6572178126533424,1.2522239203637486,0,1,0,0,0,0,0,0.0,-1.20088106496526,1.3880135322247769,-0.4192415729971863,1,0,0,0
2020-01-13,1743767.43,0.9844349663552984,1.74376743,1771338.3713461538,38551.67,24575.52,21375.62,10468.85,9060.7,14986.02,17893.72,12657.93,63127.19,31844.47,45537.670000000006,9060.7,-3.888499684093978,-0.7683688777227713,-3.8428920417249963,-3.5613994051897384,0.5014870405393332,1.3223126514448469,0.9377970568010312,1.0585540516456033,0,1,0,0,0,0,0,0.0,-1.26576780139194,1.273924912964084,-0.5214325495559321,1,0,0,0
2020-01-20,1748775.45,0.9872622183817952,1.74877545,1771338.3713461538,34055.66,20363.2,21655.77,12252.29,5438.46,12869.67,17988.05,13077.65,54418.86,33908.06,43935.37,5438.46,-1.0632236037888836,-0.9918052355280172,-0.8660104407196323,-0.9191347945940727,0.6572178126533426,1.2522239203637486,1.163874944761049,0.8033648691332378,1,1,0,0,0,0,1,0.0,-1.1808251646151946,1.3593237971815466,-0.625558679348857,1,0,0,0
2020-01-27,1771293.4,0.9999746116569926,1.7712934,1771338.3713461538,28396.86,23534.38,23193.28,10693.32,7813.4,13831.8,16907.84,12349.28,51931.240000000005,33886.6,43088.92,7813.4,-0.7027780543616515,-0.882774082240975,-0.9228131679500802,-0.29988638448155147,0.8033648691332378,1.1638749447610492,1.3223126514448467,0.5014870405393331,1,1,0,0,0,0,0,0.0,-1.1159384281885139,1.523954613224003,-0.6601681506524382,1,0,0,0
2020-02-03,1771972.59,1.0003580448908609,1.77197259,1771338.3713461538,30090.34,23489.9,23911.76,13393.52,6604.51,13842.48,15698.03,10067.28,53580.240000000005,37305.28,39607.79,6604.51,-0.9811554503753098,-0.8733397366163448,-1.0006457120786625,-1.2077971076960128,0.9377970568010313,1.0585540516456033,1.403902353237593,0.1704646079805071,1,1,0,0,0,0,0,0.0,-0.87833499698245,1.386672890400327,-0.5705556701158537,1,0,0,0
2020-02-10,1768890.32,0.9986179651580104,1.7688903200000001,1771338.3713461538,22108.06,21297.69,16913.66,10903.46,6215.91,14647.41,11828.65,13532.72,43405.75,27817.12,40008.78,6215.91,-1.1030224974209903,-0.6609226458878641,-1.0470283178766513,-0.6424331415692975,1.0585540516456033,0.9377970568010315,1.403902353237593,-0.17046460798050667,0,1,0,0,0,0,0,0.0,-0.6888657266165424,1.256362505063789,-0.5527671461555186,1,0,0,0
2020-02-17,1749785.11,0.9878322167606104,1.7497851100000001,1771338.3713461538,31612.48,22659.03,21104.96,13646.43,5806.5199999999995,14060.93,17085.61,12387.06,54271.509999999995,34751.39,43533.6,5806.5199999999995,-1.053231395966155,-1.2455375285405617,-1.2132179684972855,-0.9136754110715251,1.1638749447610492,0.8033648691332378,1.3223126514448467,-0.5014870405393328,0,0,0,0,0,0,0,0.0,-0.6383720480881429,1.3136079109678034,-0.5358717698417275,1,0,0,0
2020-02-24,1780119.84,1.0049575331263063,1.78011984,1771338.3713461538,24761.45,24940.37,21741.42,8370.62,5380.82,12175.19,16349.19,10730.72,49701.82,30112.04,39255.1,5380.82,-1.4427025436940535,-0.8539141756109389,-1.211208484774554,-1.0510689229775079,1.2522239203637484,0.6572178126533428,1.1638749447610492,-0.8033648691332377,1,0,0,0,0,0,0,0.0,-0.43309400921100794,1.1387882170595272,-0.4749144429650972,1,0,0,0
2020-03-02,1767092.71,0.9976031336446874,1.76709271,1771338.3713461538,24753.66,20506.99,15623.48,10189.39,5740.99,16371.96,12739.91,12853.39,45260.65,25812.87,41965.259999999995,5740.99,-1.0600034087467323,-1.1135214717286275,-1.0475448838150652,-1.1832576055667943,1.3223126514448469,0.5014870405393331,0.9377970568010312,-1.0585540516456036,1,0,0,0,0,0,0,0.0,-0.28302868423875666,1.1867831943748357,-0.6175203505299608,1,0,0,0
2020-03-09,1760710.07,0.9939998469416792,1.76071007,1771338.3713461538,33435.99,23446.85,22296.03,14336.38,7771.58,12512.33,16136.65,14386.39,56882.84,36632.409999999996,43035.369999999995,7771.58,-1.196066047772637,-1.4319235017378564,-1.2299040994870378,-1.322940149913441,1.373119086479104,0.3384434581237911,0.6572178126533432,-1.252223920363748,0,0,0,0,0,0,1,0.0285714285714285,-0.06831257460864945,0.9473445645280717,-0.5155526608828502,1,0,0,0
2020-03-16,1768317.24,0.9982944357808622,1.76831724,1771338.3713461538,27437.19,21335.21,15109.92,9439.83,7852.820000000001,10705.78,11697.62,10057.95,48772.399999999994,24549.75,32461.350000000002,7852.820000000001,-1.3836342137264281,-0.7537184520866059,-1.121513970743012,-1.2297881937010648,1.4039023532375932,0.1704646079805071,0.3384434581237904,-1.373119086479104,0,0,0,0,0,0,1,0.0571428571428571,0.06617993362119845,0.7961201667301154,-0.5166690954410306,1,0,0,0
2020-03-23,1760584.38,0.9939288892963002,1.7605843799999998,1771338.3713461538,25514.52,27466.87,18511.68,9108.18,6038.19,14988.17,16529.3,11806.01,52981.39,27619.86,43323.48,6038.19,-0.957446961907979,-1.480795962921316,-1.0615503771626857,-0.6554023817169883,1.414213562373095,-1.5042796746621287e-16,-5.537976374676458e-16,-1.414213562373095,1,0,0,0,0,0,1,0.0,0.24054829078235077,0.9190570220321772,-0.5973500995121749,1,0,0,0
2020-03-30,1750139.74,0.9880324213097448,1.75013974,1771338.3713461538,26665.82,21151.0,17570.1,9430.82,5760.14,16268.42,15976.28,11467.26,47816.82,27000.92,43711.96,5760.14,-1.2212389765917382,-1.3443568055061899,-1.5620420661149603,-0.580240127247851,1.4039023532375932,-0.17046460798050667,-0.33844345812379034,-1.373119086479104,1,0,0,0,1,1,1,0.0,0.5182635226885448,0.6888688207741177,-0.5846971745194678,1,0,0,0
2020-04-06,1757254.66,0.9920491129340518,1.7572546599999999,1771338.3713461538,24587.03,19158.59,20145.09,9915.67,6577.95,9606.84,13854.26,11660.92,43745.619999999995,30060.760000000002,35122.02,6577.95,-1.0873660849596827,-1.3734023080509288,-1.0903061961760963,-1.0662905563580862,1.373119086479104,-0.33844345812379023,-0.6572178126533419,-1.2522239203637489,0,0,0,0,1,1,1,0.0,0.5600269857704452,0.46082564643517726,-0.5023043041257809,1,0,0,0
2020-04-13,1777196.86,1.0033073797466454,1.77719686,1771338.3713461538,24125.38,20732.99,16546.829999999998,9361.0,5219.78,11190.1,10282.59,9805.38,44858.37,25907.829999999998,31278.07,5219.78,-1.2718199850561684,-1.169137854538125,-1.0275652011321676,-1.198392485547772,1.3223126514448469,-0.5014870405393328,-0.9377970568010312,-1.0585540516456038,0,0,0,0,0,0,1,0.0714285714285714,0.7589343268893254,0.3109418904616715,-0.6298755596404865,1,0,0,0
2020-04-20,1782651.18,1.0063865881509972,1.78265118,1771338.3713461538,29224.6,23562.53,18834.25,7993.54,6271.17,17732.83,15990.63,11855.62,52787.13,26827.79,45579.08,6271.17,-1.4520412483005338,-1.4311660418913,-1.4265131147885908,-0.9769780926251093,1.2522239203637486,-0.6572178126533424,-1.1638749447610492,-0.803364869133238,1,0,0,0,0,0,1,0.0285714285714285,0.9005053881839012,-0.1061317811247137,-0.5072910451523183,1,0,0,0
2020-04-27,1785623.8,1.008064765538269,1.7856238,1771338.3713461538,24792.69,19370.45,16687.79,11076.08,5685.67,13193.97,11859.49,11720.35,44163.14,27763.870000000003,36773.81,5685.67,-1.4256522894927837,-1.3940347356984706,-1.66095794924136,-1.349739263512096,1.1638749447610492,-0.8033648691332377,-1.3223126514448469,-0.5014870405393336,1,0,0,0,0,0,1,0.0,1.0111667677624954,0.0638616022155417,-0.6084400161234297,1,0,0,0
2020-05-04,1772906.41,1.0008852281863314,1.7729064099999998,1771338.3713461538,25157.73,25575.19,15973.75,8842.630000000001,7914.650000000001,13519.95,15274.81,9413.3,50732.92,24816.38,38208.06,7914.650000000001,-1.114352592997855,-1.3259769792864884,-0.996243223767966,-1.0783426799866571,1.0585540516456038,-0.9377970568010312,-1.4039023532375934,-0.17046460798050767,1,0,0,0,0,0,1,0.0,1.0607166392155964,-0.4143453365657617,-0.5612520487976869,1,0,0,0
2020-05-11,1752795.75,0.9895318581440417,1.75279575,1771338.3713461538,25872.77,22076.3,16512.25,11205.03,3889.86,14245.3,13668.52,10894.63,47949.07,27717.28,38808.45,3889.86,-1.4188505862171237,-1.5241664040626537,-1.342922621212092,-1.2215056871594734,0.9377970568010313,-1.0585540516456036,-1.4039023532375934,0.1704646079805074,0,0,0,0,0,0,1,0.0,1.1817598966224592,-0.17302980816476748,-0.39482887065831584,1,0,0,0
2020-05-18,1735444.11,0.9797360787036554,1.7354441100000002,1771338.3713461538,21165.9,15579.0,15619.7,10709.92,5235.8099999999995,10775.25,12271.57,9485.59,36744.9,26329.620000000003,32532.41,5235.8099999999995,-1.192052716753233,-1.3418922116196008,-1.3096595814677867,-0.6171161320600738,0.8033648691332378,-1.1638749447610492,-1.3223126514448469,0.5014870405393331,0,0,0,0,0,0,1,0.0,1.2452309224361942,-0.6138328400439174,-0.6038254199496189,1,0,0,0
2020-05-25,1738230.77,0.9813092733259128,1.73823077,1771338.3713461538,24907.17,17037.67,13580.68,8442.05,4804.34,12610.68,10993.79,13461.93,41944.84,22022.73,37066.4,4804.34,-1.2773893190743053,-1.4196245581264044,-1.2776656245508395,-1.7246088335567058,0.6572178126533432,-1.252223920363748,-1.1638749447610504,0.8033648691332363,1,0,0,0,0,0,1,0.0,1.3780717682842722,-0.6623640740890063,-0.6498969527171818,1,0,0,0
2020-06-01,1780238.17,1.0050243357214028,1.7802381699999998,1771338.3713461538,25302.15,24226.71,16525.3,11146.89,5588.3099999999995,13501.92,13182.49,11433.78,49528.86,27672.19,38118.19,5588.3099999999995,-1.7416136673622926,-1.735579260086762,-1.5817210029595035,-1.4201994441229668,0.5014870405393335,-1.3223126514448469,-0.9377970568010321,1.058554051645603,1,0,0,0,0,0,1,0.0,1.3896334049566628,-0.6984273391667107,1.7243872076790308,1,0,0,0
